# of predictors,i,predictors,fold,balanced_accuracy
1,0,5,0,0.57875
1,0,5,1,0.6295036533131771
1,0,5,2,0.6728439059158945
1,0,5,3,0.5238095238095238
1,0,5,4,0.673119333496692
1,1,5,0,0.57875
1,1,5,1,0.6295036533131771
1,1,5,2,0.6728439059158945
1,1,5,3,0.5238095238095238
1,1,5,4,0.673119333496692
1,2,0,0,0.4487179487179487
1,2,0,1,0.4757575757575757
1,2,0,2,0.4892205638474295
1,2,0,3,0.5959295110449243
1,2,0,4,0.4226190476190476
1,3,1,0,0.6272865853658536
1,3,1,1,0.595442293555501
1,3,1,2,0.7447137087194108
1,3,1,3,0.5654545454545454
1,3,1,4,0.7024242424242424
1,4,2,0,0.6138716356107661
1,4,2,1,0.597770154373928
1,4,2,2,0.6411290322580645
1,4,2,3,0.5812121212121212
1,4,2,4,0.6587358807978851
1,5,3,0,0.5900621118012422
1,5,3,1,0.5644080416976918
1,5,3,2,0.5500474383301708
1,5,3,3,0.5066666666666666
1,5,3,4,0.5471743295019157
1,6,4,0,0.7287874903870802
1,6,4,1,0.6257621951219512
1,6,4,2,0.5248756218905473
1,6,4,3,0.5916988416988418
1,6,4,4,0.591324200913242
1,7,6,0,0.6444948349710254
1,7,6,1,0.5399610136452242
1,7,6,2,0.7109764789736279
1,7,6,3,0.45053088803088803
1,7,6,4,0.7307504873294347
1,8,7,0,0.5922840297359652
1,8,7,1,0.548076923076923
1,8,7,2,0.636255642670468
1,8,7,3,0.45595238095238094
1,8,7,4,0.6474358974358975
1,9,8,0,0.6997885835095138
1,9,8,1,0.6216971544715447
1,9,8,2,0.7157567049808429
1,9,8,3,0.5343927893738141
1,9,8,4,0.7439353099730459
1,10,9,0,0.6376570110228147
1,10,9,1,0.66625
1,10,9,2,0.7475531153019814
1,10,9,3,0.45595238095238094
1,10,9,4,0.6923076923076923
1,11,10,0,0.6487843551797041
1,11,10,1,0.587798000512689
1,11,10,2,0.6175757575757576
1,11,10,3,0.5702380952380952
1,11,10,4,0.5767195767195767
2,0,2|7,0,0.701379974326059
2,0,2|7,1,0.6277010804321729
2,0,2|7,2,0.6880854800936769
2,0,2|7,3,0.7230769230769232
2,0,2|7,4,0.8023709483793517
2,1,5|7,0,0.5736111111111111
2,1,5|7,1,0.6236111111111111
2,1,5|7,2,0.6356304985337243
2,1,5|7,3,0.4298245614035088
2,1,5|7,4,0.7055555555555556
2,2,9|10,0,0.6666666666666667
2,2,9|10,1,0.6367137355584083
2,2,9|10,2,0.6721884498480244
2,2,9|10,3,0.48289473684210527
2,2,9|10,4,0.625160462130937
2,3,2|7,0,0.701379974326059
2,3,2|7,1,0.6277010804321729
2,3,2|7,2,0.6880854800936769
2,3,2|7,3,0.7230769230769232
2,3,2|7,4,0.8023709483793517
2,4,7|10,0,0.532051282051282
2,4,7|10,1,0.6147077309868008
2,4,7|10,2,0.6296518607442978
2,4,7|10,3,0.5175438596491228
2,4,7|10,4,0.659017971758665
2,5,5|6,0,0.6594224924012159
2,5,5|6,1,0.5237082066869301
2,5,5|6,2,0.7183284457478005
2,5,5|6,3,0.5903596698113207
2,5,5|6,4,0.7293313069908814
2,6,2|8,0,0.6775483011325782
2,6,2|8,1,0.5736111111111111
2,6,2|8,2,0.6820459905660378
2,6,2|8,3,0.6494708994708995
2,6,2|8,4,0.7355223880597015
3,0,2|3|7,0,0.6687370600414079
3,0,2|3|7,1,0.6568181818181817
3,0,2|3|7,2,0.6994080651128376
3,0,2|3|7,3,0.7469696969696971
3,0,2|3|7,4,0.7896603210153041
3,1,5|7|9,0,0.653125
3,1,5|7|9,1,0.6205128205128205
3,1,5|7|9,2,0.6243001119820828
3,1,5|7|9,3,0.4740740740740741
3,1,5|7|9,4,0.6740621218233158
3,2,2|9|10,0,0.695689287238583
3,2,2|9|10,1,0.6363636363636364
3,2,2|9|10,2,0.6996927803379416
3,2,2|9|10,3,0.6380333951762523
3,2,2|9|10,4,0.8604465709728868
3,3,7|9|10,0,0.6142857142857143
3,3,7|9|10,1,0.6419927390076643
3,3,7|9|10,2,0.6674409601238869
3,3,7|9|10,3,0.5251851851851852
3,3,7|9|10,4,0.6615450277422108
3,4,5|6|7,0,0.6178955453149002
3,4,5|6|7,1,0.5295463210064811
3,4,5|6|7,2,0.6892393320964749
3,4,5|6|7,3,0.518888888888889
3,4,5|6|7,4,0.7102564102564103
3,5,1|2|8,0,0.6810924369747899
3,5,1|2|8,1,0.5729646697388633
3,5,1|2|8,2,0.6599477416946622
3,5,1|2|8,3,0.5888305847076463
3,5,1|2|8,4,0.7512241054613936
3,6,3|7|9,0,0.6658496732026145
3,6,3|7|9,1,0.6540843979868369
3,6,3|7|9,2,0.7604166666666667
3,6,3|7|9,3,0.5938775510204082
3,6,3|7|9,4,0.7073732718894009
4,0,1|3|4|7,0,0.7635063559322034
4,0,1|3|4|7,1,0.7285353535353536
4,0,1|3|4|7,2,0.7485507246376812
4,0,1|3|4|7,3,0.6981981981981982
4,0,1|3|4|7,4,0.8095238095238095
4,1,4|5|7|9,0,0.6285714285714286
4,1,4|5|7|9,1,0.6387096774193548
4,1,4|5|7|9,2,0.6540697674418605
4,1,4|5|7|9,3,0.617504835589942
4,1,4|5|7|9,4,0.7654798761609907
4,2,2|7|9|10,0,0.6051587301587301
4,2,2|7|9|10,1,0.5977812177502579
4,2,2|7|9|10,2,0.7017676767676768
4,2,2|7|9|10,3,0.6814009661835749
4,2,2|7|9|10,4,0.8101092896174864
4,3,5|6|7|10,0,0.5010319917440661
4,3,5|6|7|10,1,0.6122291021671826
4,3,5|6|7|10,2,0.6961961961961962
4,3,5|6|7|10,3,0.5771276595744681
4,3,5|6|7|10,4,0.748015873015873
4,4,1|2|7|8,0,0.6582313681868743
4,4,1|2|7|8,1,0.6348063555114201
4,4,1|2|7|8,2,0.6670731707317072
4,4,1|2|7|8,3,0.6196705426356589
4,4,1|2|7|8,4,0.7857857857857857
4,5,3|6|9|10,0,0.7267759562841529
4,5,3|6|9|10,1,0.7094943240454077
4,5,3|6|9|10,2,0.7242424242424242
4,5,3|6|9|10,3,0.5986394557823129
4,5,3|6|9|10,4,0.833594566353187
4,6,2|7|8|9,0,0.7242063492063492
4,6,2|7|8|9,1,0.6875
4,6,2|7|8|9,2,0.6923076923076923
4,6,2|7|8|9,3,0.6858042635658914
4,6,2|7|8|9,4,0.7185242518059856
5,0,1|3|4|6|7,0,0.770935960591133
5,0,1|3|4|6|7,1,0.7292780748663101
5,0,1|3|4|6|7,2,0.7585526315789474
5,0,1|3|4|6|7,3,0.74375
5,0,1|3|4|6|7,4,0.8353174603174603
5,1,1|4|5|7|9,0,0.6304049416609472
5,1,1|4|5|7|9,1,0.6914285714285715
5,1,1|4|5|7|9,2,0.6753460777851021
5,1,1|4|5|7|9,3,0.641025641025641
5,1,1|4|5|7|9,4,0.7568613652357494
5,2,2|3|7|9|10,0,0.7483766233766234
5,2,2|3|7|9|10,1,0.6597466572836032
5,2,2|3|7|9|10,2,0.769732326698696
5,2,2|3|7|9|10,3,0.7032894736842106
5,2,2|3|7|9|10,4,0.8071428571428572
5,3,2|4|5|6|7,0,0.7268359643102265
5,3,2|4|5|6|7,1,0.6148097826086957
5,3,2|4|5|6|7,2,0.7197368421052632
5,3,2|4|5|6|7,3,0.6398671096345515
5,3,2|4|5|6|7,4,0.7787878787878788
5,4,1|3|7|8|9,0,0.6435185185185186
5,4,1|3|7|8|9,1,0.68125
5,4,1|3|7|8|9,2,0.7606060606060605
5,4,1|3|7|8|9,3,0.6644736842105263
5,4,1|3|7|8|9,4,0.73125
5,5,2|3|7|9|10,0,0.7483766233766234
5,5,2|3|7|9|10,1,0.6597466572836032
5,5,2|3|7|9|10,2,0.769732326698696
5,5,2|3|7|9|10,3,0.7032894736842106
5,5,2|3|7|9|10,4,0.8071428571428572
5,6,1|2|6|7|8,0,0.7019230769230769
5,6,1|2|6|7|8,1,0.6329365079365079
5,6,1|2|6|7|8,2,0.7292358803986712
5,6,1|2|6|7|8,3,0.6845238095238095
5,6,1|2|6|7|8,4,0.7968428277282087
6,0,2|3|4|5|6|7,0,0.6775
6,0,2|3|4|5|6|7,1,0.7914230019493177
6,0,2|3|4|5|6|7,2,0.8214285714285714
6,0,2|3|4|5|6|7,3,0.6647173489278753
6,0,2|3|4|5|6|7,4,0.7841555977229602
6,1,1|3|4|5|7|9,0,0.6875
6,1,1|3|4|5|7|9,1,0.7743271221532091
6,1,1|3|4|5|7|9,2,0.7831439393939394
6,1,1|3|4|5|7|9,3,0.7182163187855788
6,1,1|3|4|5|7|9,4,0.7543859649122806
6,2,2|3|6|7|9|10,0,0.8169336384439359
6,2,2|3|6|7|9|10,1,0.719785575048733
6,2,2|3|6|7|9|10,2,0.7124999999999999
6,2,2|3|6|7|9|10,3,0.6902277039848197
6,2,2|3|6|7|9|10,4,0.8393234672304439
6,3,0|2|4|5|6|8,0,0.6327220077220077
6,3,0|2|4|5|6|8,1,0.6306042884990253
6,3,0|2|4|5|6|8,2,0.7398648648648649
6,3,0|2|4|5|6|8,3,0.605
6,3,0|2|4|5|6|8,4,0.6826375711574952
6,4,1|3|5|6|7|9,0,0.6832358674463938
6,4,1|3|5|6|7|9,1,0.6374521072796935
6,4,1|3|5|6|7|9,2,0.7333333333333334
6,4,1|3|5|6|7|9,3,0.7063567362428842
6,4,1|3|5|6|7|9,4,0.7896341463414633
6,5,0|2|5|7|8|9,0,0.6217948717948718
6,5,0|2|5|7|8|9,1,0.6647173489278753
6,5,0|2|5|7|8|9,2,0.678030303030303
6,5,0|2|5|7|8|9,3,0.603219696969697
6,5,0|2|5|7|8|9,4,0.7519493177387915
6,6,0|2|6|7|8|10,0,0.5983086680761099
6,6,0|2|6|7|8|10,1,0.6408045977011494
6,6,0|2|6|7|8|10,2,0.7164750957854407
6,6,0|2|6|7|8|10,3,0.6748084291187739
6,6,0|2|6|7|8|10,4,0.8325
7,0,1|3|4|6|7|9|10,0,0.8229166666666667
7,0,1|3|4|6|7|9|10,1,0.6722488038277512
7,0,1|3|4|6|7|9|10,2,0.80625
7,0,1|3|4|6|7|9|10,3,0.8363095238095238
7,0,1|3|4|6|7|9|10,4,0.8546218487394958
7,1,1|3|4|5|6|7|9,0,0.8151515151515152
7,1,1|3|4|5|6|7|9,1,0.8079877112135176
7,1,1|3|4|5|6|7|9,2,0.8076923076923077
7,1,1|3|4|5|6|7|9,3,0.7946428571428572
7,1,1|3|4|5|6|7|9,4,0.8003072196620584
7,2,2|3|6|7|8|9|10,0,0.8325942350332594
7,2,2|3|6|7|8|9|10,1,0.6012759170653907
7,2,2|3|6|7|8|9|10,2,0.6215277777777778
7,2,2|3|6|7|8|9|10,3,0.703030303030303
7,2,2|3|6|7|8|9|10,4,0.818918918918919
7,3,1|2|3|5|6|7|8,0,0.5882352941176471
7,3,1|2|3|5|6|7|8,1,0.6785714285714286
7,3,1|2|3|5|6|7|8,2,0.7202380952380952
7,3,1|2|3|5|6|7|8,3,0.6688888888888889
7,3,1|2|3|5|6|7|8,4,0.7348484848484849
7,4,0|1|2|3|6|7|9,0,0.6154422788605698
7,4,0|1|2|3|6|7|9,1,0.721875
7,4,0|1|2|3|6|7|9,2,0.7127496159754224
7,4,0|1|2|3|6|7|9,3,0.650375939849624
7,4,0|1|2|3|6|7|9,4,0.7113095238095238
7,5,0|3|6|7|8|9|10,0,0.6361344537815126
7,5,0|3|6|7|8|9|10,1,0.6413210445468509
7,5,0|3|6|7|8|9|10,2,0.6966205837173579
7,5,0|3|6|7|8|9|10,3,0.6730769230769231
7,5,0|3|6|7|8|9|10,4,0.8022875816993464
7,6,0|1|3|4|5|6|10,0,0.49404761904761907
7,6,0|1|3|4|5|6|10,1,0.6244239631336406
7,6,0|1|3|4|5|6|10,2,0.7529761904761905
7,6,0|1|3|4|5|6|10,3,0.718018018018018
7,6,0|1|3|4|5|6|10,4,0.8076923076923077
8,0,2|3|4|5|6|7|9|10,0,0.837962962962963
8,0,2|3|4|5|6|7|9|10,1,0.7592592592592593
8,0,2|3|4|5|6|7|9|10,2,0.9
8,0,2|3|4|5|6|7|9|10,3,0.7420634920634921
8,0,2|3|4|5|6|7|9|10,4,0.9027777777777777
8,1,1|2|3|4|5|6|7|9,0,0.8478260869565217
8,1,1|2|3|4|5|6|7|9,1,0.8174603174603174
8,1,1|2|3|4|5|6|7|9,2,0.9007936507936507
8,1,1|2|3|4|5|6|7|9,3,0.7880434782608696
8,1,1|2|3|4|5|6|7|9,4,0.8174603174603174
8,2,2|3|5|6|7|8|9|10,0,0.7055555555555555
8,2,2|3|5|6|7|8|9|10,1,0.5694444444444444
8,2,2|3|5|6|7|8|9|10,2,0.6810344827586207
8,2,2|3|5|6|7|8|9|10,3,0.625
8,2,2|3|5|6|7|8|9|10,4,0.747983870967742
8,3,1|2|3|5|6|7|8|10,0,0.6293103448275862
8,3,1|2|3|5|6|7|8|10,1,0.6916666666666667
8,3,1|2|3|5|6|7|8|10,2,0.7175925925925926
8,3,1|2|3|5|6|7|8|10,3,0.7165775401069518
8,3,1|2|3|5|6|7|8|10,4,0.7467532467532467
8,4,0|1|2|3|6|7|9|10,0,0.7666666666666666
8,4,0|1|2|3|6|7|9|10,1,0.6453804347826086
8,4,0|1|2|3|6|7|9|10,2,0.7460526315789473
8,4,0|1|2|3|6|7|9|10,3,0.6477272727272727
8,4,0|1|2|3|6|7|9|10,4,0.7687165775401069
8,5,0|1|2|3|7|8|9|10,0,0.6275862068965516
8,5,0|1|2|3|7|8|9|10,1,0.5561497326203209
8,5,0|1|2|3|7|8|9|10,2,0.7228260869565217
8,5,0|1|2|3|7|8|9|10,3,0.5802139037433155
8,5,0|1|2|3|7|8|9|10,4,0.7663043478260869
8,6,0|1|2|4|6|8|9|10,0,0.7307692307692308
8,6,0|1|2|4|6|8|9|10,1,0.5543478260869565
8,6,0|1|2|4|6|8|9|10,2,0.7820855614973261
8,6,0|1|2|4|6|8|9|10,3,0.6657142857142857
8,6,0|1|2|4|6|8|9|10,4,0.8502673796791445
9,0,1|2|3|4|5|6|7|9|10,0,0.9166666666666667
9,0,1|2|3|4|5|6|7|9|10,1,0.8856209150326797
9,0,1|2|3|4|5|6|7|9|10,2,0.9705882352941176
9,0,1|2|3|4|5|6|7|9|10,3,0.8846153846153846
9,0,1|2|3|4|5|6|7|9|10,4,0.9210526315789473
9,1,1|2|3|4|5|6|7|8|9,0,0.7083333333333333
9,1,1|2|3|4|5|6|7|8|9,1,0.7375
9,1,1|2|3|4|5|6|7|8|9,2,0.8333333333333333
9,1,1|2|3|4|5|6|7|8|9,3,0.8545454545454545
9,1,1|2|3|4|5|6|7|8|9,4,0.7636363636363637
9,2,2|3|4|5|6|7|8|9|10,0,0.4772727272727273
9,2,2|3|4|5|6|7|8|9|10,1,0.7045454545454546
9,2,2|3|4|5|6|7|8|9|10,2,0.8333333333333333
9,2,2|3|4|5|6|7|8|9|10,3,0.5916666666666667
9,2,2|3|4|5|6|7|8|9|10,4,0.8523809523809525
9,3,1|2|3|5|6|7|8|9|10,0,0.7523809523809524
9,3,1|2|3|5|6|7|8|9|10,1,0.5816993464052287
9,3,1|2|3|5|6|7|8|9|10,2,0.6590909090909092
9,3,1|2|3|5|6|7|8|9|10,3,0.706766917293233
9,3,1|2|3|5|6|7|8|9|10,4,0.6231884057971014
9,4,0|1|2|3|6|7|8|9|10,0,0.6278195488721805
9,4,0|1|2|3|6|7|8|9|10,1,0.5545454545454546
9,4,0|1|2|3|6|7|8|9|10,2,0.7125
9,4,0|1|2|3|6|7|8|9|10,3,0.6625
9,4,0|1|2|3|6|7|8|9|10,4,0.675
9,5,0|1|2|5|6|7|8|9|10,0,0.5939393939393939
9,5,0|1|2|5|6|7|8|9|10,1,0.5769230769230769
9,5,0|1|2|5|6|7|8|9|10,2,0.5718954248366013
9,5,0|1|2|5|6|7|8|9|10,3,0.5939393939393939
9,5,0|1|2|5|6|7|8|9|10,4,0.5809523809523809
9,6,0|1|2|4|5|7|8|9|10,0,0.803921568627451
9,6,0|1|2|4|5|7|8|9|10,1,0.7255639097744361
9,6,0|1|2|4|5|7|8|9|10,2,0.5939393939393939
9,6,0|1|2|4|5|7|8|9|10,3,0.5272727272727272
9,6,0|1|2|4|5|7|8|9|10,4,0.6388888888888888
10,0,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
10,0,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
10,0,1|2|3|4|5|6|7|8|9|10,2,1.0
10,0,1|2|3|4|5|6|7|8|9|10,3,0.5
10,0,1|2|3|4|5|6|7|8|9|10,4,0.5
10,1,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
10,1,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
10,1,1|2|3|4|5|6|7|8|9|10,2,1.0
10,1,1|2|3|4|5|6|7|8|9|10,3,0.5
10,1,1|2|3|4|5|6|7|8|9|10,4,0.5
10,2,0|2|3|4|5|6|7|8|9|10,0,0.35
10,2,0|2|3|4|5|6|7|8|9|10,1,0.675
10,2,0|2|3|4|5|6|7|8|9|10,2,0.9
10,2,0|2|3|4|5|6|7|8|9|10,3,0.6388888888888888
10,2,0|2|3|4|5|6|7|8|9|10,4,0.9444444444444444
10,3,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
10,3,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
10,3,1|2|3|4|5|6|7|8|9|10,2,1.0
10,3,1|2|3|4|5|6|7|8|9|10,3,0.5
10,3,1|2|3|4|5|6|7|8|9|10,4,0.5
10,4,0|1|2|3|4|5|6|7|8|10,0,0.8125
10,4,0|1|2|3|4|5|6|7|8|10,1,0.675
10,4,0|1|2|3|4|5|6|7|8|10,2,0.7619047619047619
10,4,0|1|2|3|4|5|6|7|8|10,3,0.8333333333333333
10,4,0|1|2|3|4|5|6|7|8|10,4,0.8452380952380952
10,5,0|1|2|4|5|6|7|8|9|10,0,0.8333333333333333
10,5,0|1|2|4|5|6|7|8|9|10,1,0.6944444444444444
10,5,0|1|2|4|5|6|7|8|9|10,2,0.6
10,5,0|1|2|4|5|6|7|8|9|10,3,0.6375
10,5,0|1|2|4|5|6|7|8|9|10,4,0.9375
10,6,0|1|2|3|4|5|6|7|8|10,0,0.8125
10,6,0|1|2|3|4|5|6|7|8|10,1,0.675
10,6,0|1|2|3|4|5|6|7|8|10,2,0.7619047619047619
10,6,0|1|2|3|4|5|6|7|8|10,3,0.8333333333333333
10,6,0|1|2|3|4|5|6|7|8|10,4,0.8452380952380952
11,0,1|2|3|4|5|6|7|8|9|10,0,0.9230769230769231
11,0,1|2|3|4|5|6|7|8|9|10,1,0.9230769230769231
11,0,1|2|3|4|5|6|7|8|9|10,2,1.0
11,0,1|2|3|4|5|6|7|8|9|10,3,0.5
11,0,1|2|3|4|5|6|7|8|9|10,4,0.5
11,1,0|2|3|4|5|6|7|8|9|10,0,0.35
11,1,0|2|3|4|5|6|7|8|9|10,1,0.675
11,1,0|2|3|4|5|6|7|8|9|10,2,0.9
11,1,0|2|3|4|5|6|7|8|9|10,3,0.6388888888888888
11,1,0|2|3|4|5|6|7|8|9|10,4,0.9444444444444444
11,2,0|1|3|4|5|6|7|8|9|10,0,0.5694444444444444
11,2,0|1|3|4|5|6|7|8|9|10,1,0.75
11,2,0|1|3|4|5|6|7|8|9|10,2,0.6944444444444444
11,2,0|1|3|4|5|6|7|8|9|10,3,0.675
11,2,0|1|3|4|5|6|7|8|9|10,4,0.8
11,3,0|1|2|4|5|6|7|8|9|10,0,0.8333333333333333
11,3,0|1|2|4|5|6|7|8|9|10,1,0.6944444444444444
11,3,0|1|2|4|5|6|7|8|9|10,2,0.6
11,3,0|1|2|4|5|6|7|8|9|10,3,0.6375
11,3,0|1|2|4|5|6|7|8|9|10,4,0.9375
11,4,0|1|2|3|5|6|7|8|9|10,0,0.6125
11,4,0|1|2|3|5|6|7|8|9|10,1,0.6
11,4,0|1|2|3|5|6|7|8|9|10,2,0.675
11,4,0|1|2|3|5|6|7|8|9|10,3,0.425
11,4,0|1|2|3|5|6|7|8|9|10,4,0.6071428571428572
11,5,0|1|2|3|4|6|7|8|9|10,0,0.6904761904761905
11,5,0|1|2|3|4|6|7|8|9|10,1,0.7738095238095238
11,5,0|1|2|3|4|6|7|8|9|10,2,0.6071428571428572
11,5,0|1|2|3|4|6|7|8|9|10,3,0.7023809523809523
11,5,0|1|2|3|4|6|7|8|9|10,4,0.7142857142857143
11,6,0|1|2|3|4|5|7|8|9|10,0,0.8375
11,6,0|1|2|3|4|5|7|8|9|10,1,0.35
11,6,0|1|2|3|4|5|7|8|9|10,2,0.6375
11,6,0|1|2|3|4|5|7|8|9|10,3,0.4027777777777778
11,6,0|1|2|3|4|5|7|8|9|10,4,0.4027777777777778
11,7,0|1|2|3|4|5|6|8|9|10,0,0.6071428571428572
11,7,0|1|2|3|4|5|6|8|9|10,1,0.7738095238095238
11,7,0|1|2|3|4|5|6|8|9|10,2,0.7619047619047619
11,7,0|1|2|3|4|5|6|8|9|10,3,0.7857142857142857
11,7,0|1|2|3|4|5|6|8|9|10,4,0.7142857142857143
11,8,0|1|2|3|4|5|6|7|9|10,0,0.6944444444444444
11,8,0|1|2|3|4|5|6|7|9|10,1,0.625
11,8,0|1|2|3|4|5|6|7|9|10,2,1.0
11,8,0|1|2|3|4|5|6|7|9|10,3,0.9444444444444444
11,8,0|1|2|3|4|5|6|7|9|10,4,0.8375
11,9,0|1|2|3|4|5|6|7|8|10,0,0.8125
11,9,0|1|2|3|4|5|6|7|8|10,1,0.675
11,9,0|1|2|3|4|5|6|7|8|10,2,0.7619047619047619
11,9,0|1|2|3|4|5|6|7|8|10,3,0.8333333333333333
11,9,0|1|2|3|4|5|6|7|8|10,4,0.8452380952380952
11,10,0|1|2|3|4|5|6|7|8|9,0,0.4
11,10,0|1|2|3|4|5|6|7|8|9,1,0.6833333333333333
11,10,0|1|2|3|4|5|6|7|8|9,2,0.5666666666666667
11,10,0|1|2|3|4|5|6|7|8|9,3,0.6166666666666667
11,10,0|1|2|3|4|5|6|7|8|9,4,0.5
