# of predictors,i,predictors,fold,cohen_kappa_score
1,0,5,0,0.1805157593123209
1,0,5,1,0.2600556539337212
1,0,5,2,0.3476702508960574
1,0,5,3,0.04878048780487809
1,0,5,4,0.3306810203604025
1,1,5,0,0.1805157593123209
1,1,5,1,0.2600556539337212
1,1,5,2,0.3476702508960574
1,1,5,3,0.04878048780487809
1,1,5,4,0.3306810203604025
1,2,0,0,-0.11721611721611724
1,2,0,1,-0.051347881899871606
1,2,0,2,-0.021021021021021102
1,2,0,3,0.16541836079606254
1,2,0,4,-0.15873015873015883
1,3,1,0,0.2684887459807074
1,3,1,1,0.20668612364022287
1,3,1,2,0.48989298454221164
1,3,1,3,0.12342857142857144
1,3,1,4,0.40981595092024536
1,4,2,0,0.21307506053268754
1,4,2,1,0.20711134181157542
1,4,2,2,0.284688995215311
1,4,2,3,0.15314285714285714
1,4,2,4,0.3369038510584035
1,5,3,0,0.16547788873038527
1,5,3,1,0.12881608339538342
1,5,3,2,0.10066793893129766
1,5,3,3,0.012658227848101222
1,5,3,4,0.09612100512320076
1,6,4,0,0.4618369987063389
1,6,4,1,0.216867469879518
1,6,4,2,0.050299401197604676
1,6,4,3,0.17798594847775173
1,6,4,4,0.19264892268694556
1,7,6,0,0.317113630080177
1,7,6,1,0.0884573894282632
1,7,6,2,0.4247787610619469
1,7,6,3,-0.09601873536299754
1,7,6,4,0.4615009746588694
1,8,7,0,0.1907284768211921
1,8,7,1,0.1071428571428571
1,8,7,2,0.2772540488276529
1,8,7,3,-0.09135802469135812
1,8,7,4,0.26900584795321647
1,9,8,0,0.3458371454711803
1,9,8,1,0.2276615969581749
1,9,8,2,0.4154945815079547
1,9,8,3,0.07142857142857151
1,9,8,4,0.4739347774339443
1,10,9,0,0.2872425782294732
1,10,9,1,0.3275862068965518
1,10,9,2,0.4915856838113296
1,10,9,3,-0.09135802469135812
1,10,9,4,0.3529411764705882
1,11,10,0,0.26519076778144135
1,11,10,1,0.14940021810250814
1,11,10,2,0.2197055492638731
1,11,10,3,0.14390243902439026
1,11,10,4,0.12769972740616475
2,0,2|7,0,0.3734007735792919
2,0,2|7,1,0.2716679968076616
2,0,2|7,2,0.3789442642288411
2,0,2|7,3,0.4385633270321361
2,0,2|7,4,0.5996131528046422
2,1,5|7,0,0.1658841940532082
2,1,5|7,1,0.25035161744022505
2,1,5|7,2,0.2735068007096392
2,1,5|7,3,-0.1419698314108251
2,1,5|7,4,0.38095238095238104
2,2,9|10,0,0.3312101910828026
2,2,9|10,1,0.2719004308281474
2,2,9|10,2,0.3208268441172306
2,2,9|10,3,-0.034482758620689724
2,2,9|10,4,0.20725388601036265
2,3,2|7,0,0.3734007735792919
2,3,2|7,1,0.2716679968076616
2,3,2|7,2,0.3789442642288411
2,3,2|7,3,0.4385633270321361
2,3,2|7,4,0.5996131528046422
2,4,7|10,0,0.06134969325153383
2,4,7|10,1,0.24240411754939395
2,4,7|10,2,0.2556591211717709
2,4,7|10,3,0.035335689045936536
2,4,7|10,4,0.2734924796467504
2,5,5|6,0,0.35207249538513175
2,5,5|6,1,0.04878048780487798
2,5,5|6,2,0.4430229098482594
2,5,5|6,3,0.18553268765133168
2,5,5|6,4,0.4387265590928914
2,6,2|8,0,0.324110671936759
2,6,2|8,1,0.14783821478382142
2,6,2|8,2,0.3571428571428572
2,6,2|8,3,0.30294906166219837
2,6,2|8,4,0.47344734473447336
3,0,2|3|7,0,0.30331224413844426
3,0,2|3|7,1,0.31268882175226587
3,0,2|3|7,2,0.40074349442379176
3,0,2|3|7,3,0.49096385542168675
3,0,2|3|7,4,0.5869894099848714
3,1,5|7|9,0,0.3136000000000001
3,1,5|7|9,1,0.24607329842931935
3,1,5|7|9,2,0.2472160356347438
3,1,5|7|9,3,-0.05050505050505061
3,1,5|7|9,4,0.3039802747446283
3,2,2|9|10,0,0.3415270018621974
3,2,2|9|10,1,0.2789559543230016
3,2,2|9|10,2,0.3846153846153846
3,2,2|9|10,3,0.2788605697151424
3,2,2|9|10,4,0.7129337539432177
3,3,7|9|10,0,0.2251655629139072
3,3,7|9|10,1,0.2789223454833598
3,3,7|9|10,2,0.31603945926196564
3,3,7|9|10,3,0.049707602339181256
3,3,7|9|10,4,0.2668311596757138
3,4,5|6|7,0,0.2522596548890714
3,4,5|6|7,1,0.06344658207122378
3,4,5|6|7,2,0.38753799392097266
3,4,5|6|7,3,0.03849056603773593
3,4,5|6|7,4,0.3980582524271845
3,5,1|2|8,0,0.3343677269200931
3,5,1|2|8,1,0.14820592823712941
3,5,1|2|8,2,0.31403444485159404
3,5,1|2|8,3,0.17490774907749074
3,5,1|2|8,4,0.5064540622627183
3,6,3|7|9,0,0.32120253164556956
3,6,3|7|9,1,0.30428134556574926
3,6,3|7|9,2,0.5185185185185185
3,6,3|7|9,3,0.1918119787717968
3,6,3|7|9,4,0.39358600583090386
4,0,1|3|4|7,0,0.498496993987976
4,0,1|3|4|7,1,0.463745836535998
4,0,1|3|4|7,2,0.49578414839797635
4,0,1|3|4|7,3,0.38334946757018395
4,0,1|3|4|7,4,0.6222222222222222
4,1,4|5|7|9,0,0.25714285714285723
4,1,4|5|7|9,1,0.2501211827435773
4,1,4|5|7|9,2,0.3107744930368923
4,1,4|5|7|9,3,0.23382246812605245
4,1,4|5|7|9,4,0.506896551724138
4,2,2|7|9|10,0,0.18466898954703836
4,2,2|7|9|10,1,0.20154214304706197
4,2,2|7|9|10,2,0.39408138101109746
4,2,2|7|9|10,3,0.36271432021250904
4,2,2|7|9|10,4,0.5808597748208801
4,3,5|6|7|10,0,0.002088772845952991
4,3,5|6|7|10,1,0.2416666666666667
4,3,5|6|7|10,2,0.40801457194899826
4,3,5|6|7|10,3,0.15237640315261525
4,3,5|6|7|10,4,0.4553734061930783
4,4,1|2|7|8,0,0.2874463248295024
4,4,1|2|7|8,1,0.2716358179089545
4,4,1|2|7|8,2,0.3341463414634147
4,4,1|2|7|8,3,0.23676012461059182
4,4,1|2|7|8,4,0.5691502616496387
4,5,3|6|9|10,0,0.4423128164135358
4,5,3|6|9|10,1,0.4165170556552963
4,5,3|6|9|10,2,0.4484848484848485
4,5,3|6|9|10,3,0.19863013698630128
4,5,3|6|9|10,4,0.6671891327063741
4,6,2|7|8|9,0,0.4007092198581561
4,6,2|7|8|9,1,0.3832116788321168
4,6,2|7|8|9,2,0.379746835443038
4,6,2|7|8|9,3,0.36760124610591893
4,6,2|7|8|9,4,0.4172413793103448
5,0,1|3|4|6|7,0,0.5095962938451357
5,0,1|3|4|6|7,1,0.4679399727148704
5,0,1|3|4|6|7,2,0.5147347740667976
5,0,1|3|4|6|7,3,0.46153846153846156
5,0,1|3|4|6|7,4,0.6666666666666667
5,1,1|4|5|7|9,0,0.2651779483600838
5,1,1|4|5|7|9,1,0.3740404745289603
5,1,1|4|5|7|9,2,0.35301924353019243
5,1,1|4|5|7|9,3,0.28205128205128205
5,1,1|4|5|7|9,4,0.496261046906866
5,2,2|3|7|9|10,0,0.4163265306122449
5,2,2|3|7|9|10,1,0.3360473723168024
5,2,2|3|7|9|10,2,0.5424430641821947
5,2,2|3|7|9|10,3,0.40792079207920795
5,2,2|3|7|9|10,4,0.6291148500365764
5,3,2|4|5|6|7,0,0.4587092297015961
5,3,2|4|5|6|7,1,0.23636363636363633
5,3,2|4|5|6|7,2,0.43774574049803416
5,3,2|4|5|6|7,3,0.2782551222736286
5,3,2|4|5|6|7,4,0.5553319919517103
5,4,1|3|7|8|9,0,0.2683982683982684
5,4,1|3|7|8|9,1,0.38926174496644295
5,4,1|3|7|8|9,2,0.5108910891089109
5,4,1|3|7|8|9,3,0.33025099075297226
5,4,1|3|7|8|9,4,0.4484848484848485
5,5,2|3|7|9|10,0,0.4163265306122449
5,5,2|3|7|9|10,1,0.3360473723168024
5,5,2|3|7|9|10,2,0.5424430641821947
5,5,2|3|7|9|10,3,0.40792079207920795
5,5,2|3|7|9|10,4,0.6291148500365764
5,6,1|2|6|7|8,0,0.3783783783783784
5,6,1|2|6|7|8,1,0.27628865979381445
5,6,1|2|6|7|8,2,0.45725646123260444
5,6,1|2|6|7|8,3,0.3639921722113503
5,6,1|2|6|7|8,4,0.5809267965077234
6,0,2|3|4|5|6|7,0,0.3421686746987951
6,0,2|3|4|5|6|7,1,0.5859872611464968
6,0,2|3|4|5|6|7,2,0.6338028169014085
6,0,2|3|4|5|6|7,3,0.3312101910828025
6,0,2|3|4|5|6|7,4,0.5683111954459203
6,1,1|3|4|5|7|9,0,0.37783375314861467
6,1,1|3|4|5|7|9,1,0.5380710659898478
6,1,1|3|4|5|7|9,2,0.5679012345679012
6,1,1|3|4|5|7|9,3,0.4401913875598086
6,1,1|3|4|5|7|9,4,0.5170876671619613
6,2,2|3|6|7|9|10,0,0.5490584737363726
6,2,2|3|6|7|9|10,1,0.46446961894953653
6,2,2|3|6|7|9|10,2,0.4347826086956522
6,2,2|3|6|7|9|10,3,0.38154138915318747
6,2,2|3|6|7|9|10,4,0.6639089968976215
6,3,0|2|4|5|6|8,0,0.2689486552567236
6,3,0|2|4|5|6|8,1,0.2557251908396946
6,3,0|2|4|5|6|8,2,0.4735588375416866
6,3,0|2|4|5|6|8,3,0.22702702702702693
6,3,0|2|4|5|6|8,4,0.360655737704918
6,4,1|3|5|6|7|9,0,0.3664717348927875
6,4,1|3|5|6|7|9,1,0.28642714570858274
6,4,1|3|5|6|7|9,2,0.4700239808153478
6,4,1|3|5|6|7|9,3,0.4133016627078385
6,4,1|3|5|6|7|9,4,0.5743073047858942
6,5,0|2|5|7|8|9,0,0.2405063291139241
6,5,0|2|5|7|8|9,1,0.3312101910828025
6,5,0|2|5|7|8|9,2,0.35521965044874826
6,5,0|2|5|7|8|9,3,0.20507996237064907
6,5,0|2|5|7|8|9,4,0.4985535197685632
6,6,0|2|6|7|8|10,0,0.18627941912869306
6,6,0|2|6|7|8|10,1,0.29137760158572856
6,6,0|2|6|7|8|10,2,0.43587270973963355
6,6,0|2|6|7|8|10,3,0.34844868735083534
6,6,0|2|6|7|8|10,4,0.6503667481662592
7,0,1|3|4|6|7|9|10,0,0.6138613861386139
7,0,1|3|4|6|7|9|10,1,0.3564356435643564
7,0,1|3|4|6|7|9|10,2,0.6012269938650306
7,0,1|3|4|6|7|9|10,3,0.6588921282798834
7,0,1|3|4|6|7|9|10,4,0.6986754966887417
7,1,1|3|4|5|6|7|9,0,0.6153846153846154
7,1,1|3|4|5|6|7|9,1,0.6066565809379727
7,1,1|3|4|5|6|7|9,2,0.6153846153846154
7,1,1|3|4|5|6|7|9,3,0.5806451612903225
7,1,1|3|4|5|6|7|9,4,0.6006144393241168
7,2,2|3|6|7|8|9|10,0,0.5119453924914676
7,2,2|3|6|7|8|9|10,1,0.2338858195211787
7,2,2|3|6|7|8|9|10,2,0.2517985611510791
7,2,2|3|6|7|8|9|10,3,0.39181286549707595
7,2,2|3|6|7|8|9|10,4,0.6020408163265306
7,3,1|2|3|5|6|7|8,0,0.1719745222929936
7,3,1|2|3|5|6|7|8,1,0.36585365853658547
7,3,1|2|3|5|6|7|8,2,0.4484848484848485
7,3,1|2|3|5|6|7|8,3,0.34029850746268664
7,3,1|2|3|5|6|7|8,4,0.4783950617283951
7,4,0|1|2|3|6|7|9,0,0.21999999999999986
7,4,0|1|2|3|6|7|9,1,0.4057142857142857
7,4,0|1|2|3|6|7|9,2,0.4321372854914196
7,4,0|1|2|3|6|7|9,3,0.2547770700636942
7,4,0|1|2|3|6|7|9,4,0.42136498516320475
7,5,0|3|6|7|8|9|10,0,0.26821192052980125
7,5,0|3|6|7|8|9|10,1,0.29392971246006394
7,5,0|3|6|7|8|9|10,2,0.39628482972136225
7,5,0|3|6|7|8|9|10,3,0.34615384615384615
7,5,0|3|6|7|8|9|10,4,0.6125827814569536
7,6,0|1|3|4|5|6|10,0,-0.011527377521613813
7,6,0|1|3|4|5|6|10,1,0.24695121951219512
7,6,0|1|3|4|5|6|10,2,0.5014749262536873
7,6,0|1|3|4|5|6|10,3,0.3829113924050632
7,6,0|1|3|4|5|6|10,4,0.6153846153846154
8,0,2|3|4|5|6|7|9|10,0,0.6919431279620853
8,0,2|3|4|5|6|7|9|10,1,0.5185185185185186
8,0,2|3|4|5|6|7|9|10,2,0.8311688311688312
8,0,2|3|4|5|6|7|9|10,3,0.4841269841269841
8,0,2|3|4|5|6|7|9|10,4,0.7699115044247787
8,1,1|2|3|4|5|6|7|9,0,0.6522292993630573
8,1,1|2|3|4|5|6|7|9,1,0.6374501992031872
8,1,1|2|3|4|5|6|7|9,2,0.7952755905511811
8,1,1|2|3|4|5|6|7|9,3,0.5760869565217391
8,1,1|2|3|4|5|6|7|9,4,0.6374501992031872
8,2,2|3|5|6|7|8|9|10,0,0.48684210526315785
8,2,2|3|5|6|7|8|9|10,1,0.16129032258064513
8,2,2|3|5|6|7|8|9|10,2,0.3743315508021391
8,2,2|3|5|6|7|8|9|10,3,0.22881355932203384
8,2,2|3|5|6|7|8|9|10,4,0.47398843930635837
8,3,1|2|3|5|6|7|8|10,0,0.24271844660194175
8,3,1|2|3|5|6|7|8|10,1,0.4144144144144144
8,3,1|2|3|5|6|7|8|10,2,0.4454976303317535
8,3,1|2|3|5|6|7|8|10,3,0.43027888446215135
8,3,1|2|3|5|6|7|8|10,4,0.49350649350649356
8,4,0|1|2|3|6|7|9|10,0,0.49612403100775193
8,4,0|1|2|3|6|7|9|10,1,0.2678347934918648
8,4,0|1|2|3|6|7|9|10,2,0.4895287958115183
8,4,0|1|2|3|6|7|9|10,3,0.28
8,4,0|1|2|3|6|7|9|10,4,0.5338645418326693
8,5,0|1|2|3|7|8|9|10,0,0.21325648414985598
8,5,0|1|2|3|7|8|9|10,1,0.11864406779661019
8,5,0|1|2|3|7|8|9|10,2,0.43328929986789955
8,5,0|1|2|3|7|8|9|10,3,0.15325670498084287
8,5,0|1|2|3|7|8|9|10,4,0.5275908479138627
8,6,0|1|2|4|6|8|9|10,0,0.42105263157894735
8,6,0|1|2|4|6|8|9|10,1,0.10767160161507405
8,6,0|1|2|4|6|8|9|10,2,0.5459249676584734
8,6,0|1|2|4|6|8|9|10,3,0.3314285714285714
8,6,0|1|2|4|6|8|9|10,4,0.6912928759894459
9,0,1|2|3|4|5|6|7|9|10,0,0.7547169811320754
9,0,1|2|3|4|5|6|7|9|10,1,0.7515923566878981
9,0,1|2|3|4|5|6|7|9|10,2,0.9171974522292994
9,0,1|2|3|4|5|6|7|9|10,3,0.7692307692307692
9,0,1|2|3|4|5|6|7|9|10,4,0.7417218543046358
9,1,1|2|3|4|5|6|7|8|9,0,0.36585365853658547
9,1,1|2|3|4|5|6|7|8|9,1,0.49350649350649356
9,1,1|2|3|4|5|6|7|8|9,2,0.6829268292682927
9,1,1|2|3|4|5|6|7|8|9,3,0.6923076923076923
9,1,1|2|3|4|5|6|7|8|9,4,0.5272727272727272
9,2,2|3|4|5|6|7|8|9|10,0,-0.06557377049180313
9,2,2|3|4|5|6|7|8|9|10,1,0.40909090909090906
9,2,2|3|4|5|6|7|8|9|10,2,0.7547169811320754
9,2,2|3|4|5|6|7|8|9|10,3,0.19469026548672563
9,2,2|3|4|5|6|7|8|9|10,4,0.654867256637168
9,3,1|2|3|5|6|7|8|9|10,0,0.5047619047619047
9,3,1|2|3|5|6|7|8|9|10,1,0.1937984496124031
9,3,1|2|3|5|6|7|8|9|10,2,0.26415094339622636
9,3,1|2|3|5|6|7|8|9|10,3,0.4135338345864661
9,3,1|2|3|5|6|7|8|9|10,4,0.24637681159420288
9,4,0|1|2|3|6|7|8|9|10,0,0.2251655629139072
9,4,0|1|2|3|6|7|8|9|10,1,0.09625668449197855
9,4,0|1|2|3|6|7|8|9|10,2,0.39534883720930225
9,4,0|1|2|3|6|7|8|9|10,3,0.3076923076923077
9,4,0|1|2|3|6|7|8|9|10,4,0.3500000000000001
9,5,0|1|2|5|6|7|8|9|10,0,0.1925465838509317
9,5,0|1|2|5|6|7|8|9|10,1,0.15384615384615385
9,5,0|1|2|5|6|7|8|9|10,2,0.1333333333333333
9,5,0|1|2|5|6|7|8|9|10,3,0.1925465838509317
9,5,0|1|2|5|6|7|8|9|10,4,0.14049586776859513
9,6,0|1|2|4|5|7|8|9|10,0,0.6413793103448275
9,6,0|1|2|4|5|7|8|9|10,1,0.3973509933774835
9,6,0|1|2|4|5|7|8|9|10,2,0.1925465838509317
9,6,0|1|2|4|5|7|8|9|10,3,0.05454545454545445
9,6,0|1|2|4|5|7|8|9|10,4,0.2777777777777778
10,0,1|2|3|4|5|6|7|8|9|10,0,0.0
10,0,1|2|3|4|5|6|7|8|9|10,1,0.0
10,0,1|2|3|4|5|6|7|8|9|10,2,
10,0,1|2|3|4|5|6|7|8|9|10,3,0.0
10,0,1|2|3|4|5|6|7|8|9|10,4,0.0
10,1,1|2|3|4|5|6|7|8|9|10,0,0.0
10,1,1|2|3|4|5|6|7|8|9|10,1,0.0
10,1,1|2|3|4|5|6|7|8|9|10,2,
10,1,1|2|3|4|5|6|7|8|9|10,3,0.0
10,1,1|2|3|4|5|6|7|8|9|10,4,0.0
10,2,0|2|3|4|5|6|7|8|9|10,0,-0.2999999999999998
10,2,0|2|3|4|5|6|7|8|9|10,1,0.3500000000000001
10,2,0|2|3|4|5|6|7|8|9|10,2,0.8311688311688312
10,2,0|2|3|4|5|6|7|8|9|10,3,0.2777777777777778
10,2,0|2|3|4|5|6|7|8|9|10,4,0.8311688311688312
10,3,1|2|3|4|5|6|7|8|9|10,0,0.0
10,3,1|2|3|4|5|6|7|8|9|10,1,0.0
10,3,1|2|3|4|5|6|7|8|9|10,2,
10,3,1|2|3|4|5|6|7|8|9|10,3,0.0
10,3,1|2|3|4|5|6|7|8|9|10,4,0.0
10,4,0|1|2|3|4|5|6|7|8|10,0,0.5617977528089888
10,4,0|1|2|3|4|5|6|7|8|10,1,0.3500000000000001
10,4,0|1|2|3|4|5|6|7|8|10,2,0.5301204819277109
10,4,0|1|2|3|4|5|6|7|8|10,3,0.6829268292682927
10,4,0|1|2|3|4|5|6|7|8|10,4,0.6904761904761905
10,5,0|1|2|4|5|6|7|8|9|10,0,0.5517241379310345
10,5,0|1|2|4|5|6|7|8|9|10,1,0.417910447761194
10,5,0|1|2|4|5|6|7|8|9|10,2,0.23529411764705865
10,5,0|1|2|4|5|6|7|8|9|10,3,0.29729729729729737
10,5,0|1|2|4|5|6|7|8|9|10,4,0.8433734939759037
10,6,0|1|2|3|4|5|6|7|8|10,0,0.5617977528089888
10,6,0|1|2|3|4|5|6|7|8|10,1,0.3500000000000001
10,6,0|1|2|3|4|5|6|7|8|10,2,0.5301204819277109
10,6,0|1|2|3|4|5|6|7|8|10,3,0.6829268292682927
10,6,0|1|2|3|4|5|6|7|8|10,4,0.6904761904761905
11,0,1|2|3|4|5|6|7|8|9|10,0,0.0
11,0,1|2|3|4|5|6|7|8|9|10,1,0.0
11,0,1|2|3|4|5|6|7|8|9|10,2,
11,0,1|2|3|4|5|6|7|8|9|10,3,0.0
11,0,1|2|3|4|5|6|7|8|9|10,4,0.0
11,1,0|2|3|4|5|6|7|8|9|10,0,-0.2999999999999998
11,1,0|2|3|4|5|6|7|8|9|10,1,0.3500000000000001
11,1,0|2|3|4|5|6|7|8|9|10,2,0.8311688311688312
11,1,0|2|3|4|5|6|7|8|9|10,3,0.2777777777777778
11,1,0|2|3|4|5|6|7|8|9|10,4,0.8311688311688312
11,2,0|1|3|4|5|6|7|8|9|10,0,0.16129032258064513
11,2,0|1|3|4|5|6|7|8|9|10,1,0.5806451612903225
11,2,0|1|3|4|5|6|7|8|9|10,2,0.417910447761194
11,2,0|1|3|4|5|6|7|8|9|10,3,0.3500000000000001
11,2,0|1|3|4|5|6|7|8|9|10,4,0.6486486486486487
11,3,0|1|2|4|5|6|7|8|9|10,0,0.5517241379310345
11,3,0|1|2|4|5|6|7|8|9|10,1,0.417910447761194
11,3,0|1|2|4|5|6|7|8|9|10,2,0.23529411764705865
11,3,0|1|2|4|5|6|7|8|9|10,3,0.29729729729729737
11,3,0|1|2|4|5|6|7|8|9|10,4,0.8433734939759037
11,4,0|1|2|3|5|6|7|8|9|10,0,0.2168674698795181
11,4,0|1|2|3|5|6|7|8|9|10,1,0.23529411764705865
11,4,0|1|2|3|5|6|7|8|9|10,2,0.3500000000000001
11,4,0|1|2|3|5|6|7|8|9|10,3,-0.1304347826086958
11,4,0|1|2|3|5|6|7|8|9|10,4,0.2168674698795181
11,5,0|1|2|3|4|6|7|8|9|10,0,0.38095238095238093
11,5,0|1|2|3|4|6|7|8|9|10,1,0.5411764705882353
11,5,0|1|2|3|4|6|7|8|9|10,2,0.2168674698795181
11,5,0|1|2|3|4|6|7|8|9|10,3,0.39534883720930225
11,5,0|1|2|3|4|6|7|8|9|10,4,0.40909090909090917
11,6,0|1|2|3|4|5|7|8|9|10,0,0.675
11,6,0|1|2|3|4|5|7|8|9|10,1,-0.2999999999999998
11,6,0|1|2|3|4|5|7|8|9|10,2,0.29729729729729737
11,6,0|1|2|3|4|5|7|8|9|10,3,-0.18181818181818166
11,6,0|1|2|3|4|5|7|8|9|10,4,-0.18181818181818166
11,7,0|1|2|3|4|5|6|8|9|10,0,0.2168674698795181
11,7,0|1|2|3|4|5|6|8|9|10,1,0.5411764705882353
11,7,0|1|2|3|4|5|6|8|9|10,2,0.5301204819277109
11,7,0|1|2|3|4|5|6|8|9|10,3,0.5517241379310345
11,7,0|1|2|3|4|5|6|8|9|10,4,0.40909090909090917
11,8,0|1|2|3|4|5|6|7|9|10,0,0.417910447761194
11,8,0|1|2|3|4|5|6|7|9|10,1,0.3157894736842106
11,8,0|1|2|3|4|5|6|7|9|10,2,1.0
11,8,0|1|2|3|4|5|6|7|9|10,3,0.8311688311688312
11,8,0|1|2|3|4|5|6|7|9|10,4,0.675
11,9,0|1|2|3|4|5|6|7|8|10,0,0.5617977528089888
11,9,0|1|2|3|4|5|6|7|8|10,1,0.3500000000000001
11,9,0|1|2|3|4|5|6|7|8|10,2,0.5301204819277109
11,9,0|1|2|3|4|5|6|7|8|10,3,0.6829268292682927
11,9,0|1|2|3|4|5|6|7|8|10,4,0.6904761904761905
11,10,0|1|2|3|4|5|6|7|8|9,0,-0.2264150943396228
11,10,0|1|2|3|4|5|6|7|8|9,1,0.29729729729729737
11,10,0|1|2|3|4|5|6|7|8|9,2,0.1333333333333333
11,10,0|1|2|3|4|5|6|7|8|9,3,0.26415094339622636
11,10,0|1|2|3|4|5|6|7|8|9,4,0.0
